済	id	社名	slug	公式サイトURL	location	headquarters_address
	6c218a59-a951-44ee-9003-163956376554	Asana Japan株式会社	asana	https://asana.com/ja	東京都	
	c7353772-0c07-4f0d-8d20-294215125303	Box Japan株式会社	box	https://www.box.com/ja-jp/	東京都	
	87bcae88-2779-4bf7-b461-b3c8661b2764	CrowdStrike株式会社	crowdstrike	https://www.crowdstrike.com/ja-jp/	東京都	
	ae15610d-477a-410d-b74a-54ab3e351add	Databricks Japan株式会社	databricks	https://www.databricks.com/jp	東京都	
	a5ffac90-70aa-4242-b867-6d9334317851	Datadog Japan株式会社	datadog	https://www.datadoghq.com/ja/	東京都	
	da8cfab5-f5c2-4648-b866-895be46a1494	DocuSign Japan株式会社	docusign	https://www.docusign.com/ja-jp	東京都	
	1f73df31-8e55-4e70-a928-afe1150d72d0	Dropbox Japan株式会社	dropbox	https://www.dropbox.com/ja_JP/	東京都	
	aaaaaaaa-0001-0001-0001-000000000007	HubSpot Japan株式会社	hubspot		東京都	
	e7e9b0be-20c2-4434-afea-7a27c89332e2	Indeed Japan株式会社	indeed	https://jp.indeed.com/	東京都	
	0ece9af4-96cb-443c-b8a8-0f358c8e3a64	Meta日本法人	meta	https://www.meta.com/ja-jp/	東京都	
	565b0f13-252d-44d0-8b90-e00acacf4b75	MongoDB Japan合同会社	mongodb	https://www.mongodb.com/ja-jp	東京都	
	0d4734e0-0717-475e-a6d1-806aa2cd45ff	New Relic株式会社	new-relic	https://newrelic.com/jp	東京都	
	bf24736f-fa65-4c5a-9764-98c96ace3b07	Notion Labs Japan合同会社	notion	https://www.notion.so/ja-jp	東京都	
	daa558e5-054f-4475-ab00-3817170759ce	OpenAI Japan合同会社	openai	https://openai.com/ja-JP/	東京都	
	8b9f84b0-b4be-4191-8322-07c6a2e5e91a	Sansan株式会社	sansan		東京都渋谷区	
	bcea5e4e-94ee-4019-8ce3-237a7edf79a7	SAPジャパン株式会社	sap	https://www.sap.com/japan/	東京都	
	4df6e844-74d6-4f50-98f9-08468a12f1dc	ServiceNow Japan合同会社	servicenow	https://www.servicenow.com/jp/	東京都	
	cd4d23ca-d2cd-4e5d-bd2f-ad63d3533e16	Slack Japan株式会社	slack	https://slack.com/intl/ja-jp/	東京都	
	cb70da1c-4b3b-429b-a06b-cdc2c50172f8	Snowflake Japan株式会社	snowflake	https://www.snowflake.com/ja/	東京都	
	88defb4b-b18c-437b-8b7d-d41a43232af4	Twilio Japan合同会社	twilio	https://www.twilio.com/ja/	東京都	
	fb7397eb-a9c7-4ce3-964a-d7a72159847f	Ubie株式会社	ubie		東京都中央区	
	d6650b18-5ef2-40c9-9938-2adbad70fe2b	Zendesk株式会社	zendesk	https://www.zendesk.co.jp/	東京都	
	6396920c-70d3-47d2-9f4e-67bc2efe262f	アカマイ・テクノロジーズ合同会社	akamai	https://www.akamai.com/ja	東京都	
	dcd2c652-4335-4031-b4d2-a4f22c98182b	アップルジャパン合同会社	apple	https://www.apple.com/jp/	東京都	
	eccd3dfb-decd-4277-a3a4-df489d3b3e5e	アドビ株式会社	adobe	https://www.adobe.com/jp/	東京都	
	fc1f7cb7-9530-4d6a-85cf-15196a4b155e	アトラシアン株式会社	atlassian	https://www.atlassian.com/ja	東京都	
	08e4aff6-a12c-4963-ad43-960ac9e39967	アプティオ株式会社	aptio	https://www.apptio.com/ja/	東京都	
	a9de1561-eb91-4ebf-842d-f6d39865b7ef	アマゾン ウェブ サービス ジャパン合同会社	aws	https://aws.amazon.com/jp/	東京都	
	3efd857e-315c-4650-9727-1e5aa1245753	アリスタネットワークス合同会社	arista	https://www.arista.com/ja/	東京都	
	f32e6905-f25f-4c01-b64f-c5695fd45a1d	アンソロピックジャパン合同会社	anthropic	https://www.anthropic.com/	東京都	
	ec97fde1-6f22-4ab5-89ee-9cea0b258f2a	インテル株式会社	intel	https://www.intel.co.jp/content/www/jp/ja/	東京都	
	7dac3c6e-bc5f-4550-9170-4338ea809be2	ヴイエムウェア株式会社	vmware	https://www.vmware.com/jp.html	東京都	
	943620b5-0fa2-48b4-a072-d47f900ba9f0	ウーバー・ジャパン株式会社	uber	https://www.uber.com/jp/ja/	東京都	
	e3eafa66-02ce-4060-a5fe-57e4317c8e7c	ウォークミー株式会社	walkme	https://www.walkme.com/ja/	東京都	
	b8aa0e3d-828c-4bbe-b588-88450aab5739	エヌシーノ合同会社	ncino	https://www.ncino.com/	東京都	
	829a1ea9-d577-4404-9ba7-e301680523a8	エヌビディア合同会社	nvidia	https://www.nvidia.com/ja-jp/	東京都	
	1e541353-c177-40a9-968a-af3af14e1194	エラスティック株式会社	elastic	https://www.elastic.co/jp/	東京都	
	f8ebbe74-b647-46ea-869f-b126d1c4f316	オクタ・ジャパン株式会社	okta	https://www.okta.com/jp/	東京都	
	a1a7036b-a5c4-4328-b5db-96ac1d5e29df	キリバ株式会社	kyriba	https://www.kyriba.com/	東京都	
	94edfbe5-0496-4c1d-865c-d2d448232135	クアルコムジャパン合同会社	qualcomm	https://www.qualcomm.com/company/locations/japan	東京都	
	7d186c45-ce23-4d96-8eae-cd6e7c00faee	グーグル合同会社	google	https://about.google/intl/ja_jp/	東京都	
	1027a327-18c0-4191-b27b-a28bf5781126	クーパ・ソフトウェア株式会社	coupa	https://www.coupa.com/ja	東京都	
	0a216ebb-c1fa-4d19-b066-f45e45c3ba2e	クラウドフレア・ジャパン株式会社	cloudflare	https://www.cloudflare.com/ja-jp/	東京都	
	1413b97e-ef19-4e40-87ae-e31ac8996bdd	クリックハウス株式会社	clickhouse	https://clickhouse.com/	東京都	
	4fecbf31-498c-40b0-a04e-3a6cb978433f	ゲインサイト・ジャパン株式会社	gainsight	https://www.gainsight.com/	東京都	
	91523b3b-15e4-4f6b-8c9b-a90b67552b9e	コンカー株式会社	concur	https://www.concur.co.jp/	東京都	
	e459ac79-5dad-499d-bb65-b758d4281123	コング・ジャパン株式会社	kong	https://konghq.com/	東京都	
	9ccf1640-6a5c-42e3-bbcf-4110f715fbf4	コンフルエント合同会社	confluent	https://www.confluent.io/ja-jp/	東京都	
	1241f8a5-b645-4aa2-9fa1-bbfc573f1774	ザクトリー株式会社	zactory	https://www.xactlycorp.com/	東京都	
	27988ac1-fd93-445d-a9fd-6dad74c92686	シスコシステムズ合同会社	cisco	https://www.cisco.com/c/ja_jp/	東京都	
	dd76b17d-e3c1-44a9-b747-4ecde10b8cec	ゼットスケーラー株式会社	zscaler	https://www.zscaler.jp/	東京都	
	f4acddc0-c746-4537-9edf-6f3c1f2c90b3	デル・テクノロジーズ株式会社	dell	https://www.dell.com/ja-jp/	東京都	
	99132c64-ff07-4945-aeb6-7e21e6c256c9	ノービフォー株式会社	nobefore	https://jp.knowbe4.com/	東京都	
	be74d989-db8f-4be1-882c-40cf94e07fe2	パランティア・テクノロジーズ	palantir	https://www.palantir.com/	東京都	
	f4a6aa23-3775-4548-981b-156e416ef6f6	パロアルトネットワークス株式会社	palo-alto-networks	https://www.paloaltonetworks.jp/	東京都	
	3122e2ce-a1bc-4e6c-9dc9-4612b5cccfc2	フォーティネット株式会社	fortinet	https://www.fortinet.com/jp/	東京都	
	53ea9a54-feef-413b-8a7c-e31e4def2e11	ブラックライン株式会社	blackline	https://www.blackline.com/ja-jp/	東京都	
	478a9ede-ea0f-48c1-859c-d47f84d35b6b	ブレイズ株式会社	braze	https://www.braze.com/ja	東京都	
	7baafcb1-d929-46c1-97be-b0fb580b480b	ページャーデューティー株式会社	pagerduty	https://www.pagerduty.co.jp/	東京都	
	e4d317d3-48b9-4718-ae3e-8d27147d05f5	マルケト株式会社	marketo	https://jp.marketo.com/	東京都	
	355ce5c6-0412-4512-8864-1d477c97c917	ミラクル株式会社	miracle	https://www.mirakl.com/	東京都	
	f201ed17-a9e2-4859-85aa-474578b2870d	レノボ・ジャパン合同会社	lenovo	https://www.lenovo.com/jp/ja/	東京都	
★	138ff010-8671-414a-ab06-752d61f50dd7	伊藤忠テクノソリューションズ株式会社	ctc	https://www.ctc-g.co.jp/	東京都	東京都港区虎ノ門4-1-1 神谷町トラストタワー
	63d390da-e8c4-464a-8c30-e112fcd2709c	株式会社irodas	irodas	https://irodas.com/	大阪府	
	cf44d740-b835-454d-91a3-f1e2eddc7251	株式会社Opinio	opinio	https://opinio.co.jp/	東京都	
	09d67e54-0381-45c8-b698-568e1fc47033	株式会社PKSHA Technology	pksha		東京都文京区	
	81aa95dc-2304-4faa-9c4a-f2f5454e8e11	株式会社SmartHR	smarthr		東京都港区	
	d1c26664-5643-42bc-84e4-6f0c940bb39d	株式会社Translead	translead	https://translead.jp/	東京都	
	28b826eb-fb86-4124-aa08-c489cad662f1	株式会社シンカ	shinka	https://www.thinca.co.jp/	東京都	
	c3664ef1-5571-4645-b30f-1474e7961c17	株式会社セールスフォース・ジャパン	salesforce	https://www.salesforce.com/jp/	東京都	
	2e54ff06-2f4d-420c-9a5c-9a80a85ca55a	株式会社タイミー	timee	https://corp.timee.co.jp/	東京都	
	cb386dd2-427c-49d1-b3f8-1e1d3a921fd8	株式会社フライル	flyle	https://flyle.io/	東京都	
	8dc04d46-3430-45de-91f8-e37c8880b8a5	株式会社ワークデイ	workday	https://www.workday.com/ja-jp/	東京都	
	c32027b9-cfbd-4a70-bf4c-464e42790db4	株式会社日本HP	hp-jp	https://jp.ext.hp.com/	東京都	
	9ef65fa1-e04b-4098-a7b1-4ee3d535a23a	日本IBM株式会社	ibm	https://www.ibm.com/jp-ja	東京都	
	1f8010f2-ba3f-4f7a-b7f4-d5b60400e638	日本オラクル株式会社	oracle	https://www.oracle.com/jp/	東京都	
	9e8bb2c2-2a02-4703-89b0-5d9c4d1981d6	日本ヒューレット・パッカード合同会社	hp	https://www.hpe.com/jp/ja/	東京都	
	40dca29e-aa4b-4654-aada-8e29763f8521	日本マイクロソフト株式会社	microsoft	https://www.microsoft.com/ja-jp/	東京都	
	b8b7a2d4-20a8-4fe1-8651-61a6503f762e	富士フイルムビジネスイノベーションジャパン株式会社	fujifilm-bi	https://www.fujifilm.com/fb/	東京都	
